TTT
11,58,9,12,1,11,0.36,4.31
12,46,10,12,10,1,-0.44,6.35
13,43,4,14,11,4,-0.51,8.62
14,27,14,9,10,0,-0.40,5.38
14,52,23,0,8,2,0.39,4.90
16,28,3,16,7,7,-0.37,4.47
16,53,13,6,14,0,-0.40,5.40
16,59,15,4,5,9,0.44,6.31
17,36,11,11,10,1,-0.40,5.30
17,46,16,6,4,7,0.35,4.06
17,52,22,0,9,2,0.36,4.26
17,54,12,10,10,1,-0.36,4.36
18,46,16,6,4,7,0.35,4.06
18,58,3,19,7,4,-0.51,8.68
19,47,16,6,4,7,0.35,4.06
19,52,22,0,9,2,0.36,4.26
19,58,4,18,6,5,-0.37,4.59
20,37,27,1,3,2,0.45,6.81
20,39,10,18,5,0,-0.46,7.07
20,42,26,2,2,3,0.53,9.22
20,55,13,15,5,0,-0.39,4.91
21,25,12,8,13,0,-0.46,6.86
21,27,12,8,12,1,-0.35,4.15
21,38,20,0,10,3,0.39,5.08
21,40,9,11,11,2,-0.40,5.18
21,53,14,6,13,0,-0.38,4.77
25,29,11,14,7,1,-0.37,4.63
25,57,23,2,5,3,0.35,4.10
26,43,8,16,7,2,-0.40,5.21
26,46,17,7,3,6,0.34,3.86
27,32,19,5,3,6,0.43,6.19
28,43,8,2,7,16,0.46,6.91
29,43,11,7,4,11,0.34,3.92
29,51,8,10,12,3,-0.36,4.33
34,38,21,0,9,3,0.42,5.78
34,44,15,6,3,9,0.45,6.64
35,46,19,8,1,5,0.42,5.93
36,47,10,11,10,2,-0.35,4.08
37,57,27,3,1,2,0.45,6.81
38,44,18,12,0,3,0.35,3.96
39,55,11,4,7,11,0.34,3.92
39,56,14,1,10,8,0.42,5.89
40,49,16,4,6,7,0.35,4.06
43,51,6,9,14,4,-0.38,4.89
44,49,15,3,7,8,0.39,4.95
46,53,14,6,13,0,-0.38,4.77
47,57,19,1,9,4,0.35,4.07
49,52,22,0,9,2,0.36,4.26
55,58,9,9,1,14,0.47,7.27
Subtotal,80
FTF
01,26,13,1,11,8,0.39,4.97
01,31,9,5,5,14,0.38,4.76
01,34,6,8,15,4,-0.37,4.54
01,37,11,3,19,0,-0.37,4.48
02,19,10,11,12,0,-0.53,9.43
02,44,13,8,3,9,0.36,4.16
03,14,20,8,1,4,0.38,4.85
03,21,19,9,1,4,0.35,4.07
03,23,26,2,3,2,0.36,4.30
03,47,19,9,1,4,0.35,4.07
