player1,player2,item1wins,item2wins
s1,s10,4,0
s1,s11,2,3
s1,s12,18,0
s1,s13,4,0
s1,s16,112,0
s1,s2,18,20
s1,s3,12,8
s1,s4,29,12
s1,s5,28,7
s1,s6,6,2
s1,s7,4,0
s1,s8,44,10
s1,s9,54,4
s10,s11,1,0
s10,s14,0,1
s10,s15,4,0
s11,s14,3,0
s12,s13,8,2
s2,s10,17,24
s2,s11,1,10
s2,s12,0,1
s2,s15,106,6
s2,s3,13,22
s2,s4,4,2
s2,s5,3,0
s2,s6,6,20
s2,s7,17,48
s2,s8,2,2
s3,s10,9,4
s3,s11,12,23
s3,s14,96,16
s3,s4,1,2
s3,s5,1,2
s3,s6,27,34
s3,s7,6,3
s3,s8,0,1
s3,s9,0,1
s4,s10,2,0
s4,s12,11,17
s4,s13,88,24
s4,s5,28,32
s4,s6,2,1
s4,s7,2,0
s4,s8,4,2
s4,s9,0,2
s5,s10,1,0
s5,s12,74,38
s5,s13,11,3
s5,s6,1,0
s5,s8,2,0
s5,s9,1,1
s6,s10,4,2
s6,s11,74,38
s6,s14,11,2
s6,s7,3,3
s6,s8,1,0
s7,s10,67,45
s7,s11,3,0
s7,s14,0,1
s7,s15,2,0
s7,s8,1,0
s8,s12,0,1
s8,s13,1,0
s8,s9,54,58
