player1,player2,item1wins,item2wins
s1,s10,4,0
s1,s11,2,3
s1,s12,19,0
s1,s13,4,0
s1,s16,116,0
s1,s2,19,20
s1,s3,12,8
s1,s4,29,14
s1,s5,28,7
s1,s6,6,2
s1,s7,4,0
s1,s8,46,10
s1,s9,55,5
s10,s11,1,0
s10,s14,0,1
s10,s15,4,0
s11,s14,3,0
s12,s13,8,3
s2,s10,17,25
s2,s11,1,10
s2,s12,0,1
s2,s15,109,7
s2,s3,14,23
s2,s4,4,2
s2,s5,3,0
s2,s6,6,21
s2,s7,17,50
s2,s8,2,2
s2,s9,1,0
s3,s10,9,4
s3,s11,12,24
s3,s14,99,17
s3,s15,1,0
s3,s4,3,2
s3,s5,1,2
s3,s6,27,36
s3,s7,6,3
s3,s8,0,1
s3,s9,0,1
s4,s10,2,0
s4,s12,12,18
s4,s13,91,25
s4,s5,28,33
s4,s6,2,1
s4,s7,2,0
s4,s8,4,2
s4,s9,0,2
s5,s10,1,0
s5,s12,75,41
s5,s13,11,3
s5,s6,1,0
s5,s8,2,0
s5,s9,1,1
s6,s10,4,2
s6,s11,77,39
s6,s14,12,2
s6,s7,3,3
s6,s8,1,0
s7,s10,70,46
s7,s11,3,0
s7,s14,0,1
s7,s15,2,1
s7,s8,1,0
s8,s12,0,1
s8,s13,1,0
s8,s9,56,60
s9,s13,1,0
