player1,player2,item1wins,item2wins
s1,s10,4,0
s1,s11,3,3
s1,s12,19,0
s1,s13,4,0
s1,s16,120,0
s1,s2,19,21
s1,s3,12,8
s1,s4,31,15
s1,s5,28,7
s1,s6,6,2
s1,s7,4,0
s1,s8,48,11
s1,s9,56,5
s10,s11,2,0
s10,s14,0,1
s10,s15,4,0
s11,s14,4,0
s12,s13,8,3
s2,s10,18,25
s2,s11,1,11
s2,s12,0,1
s2,s15,113,7
s2,s3,14,23
s2,s4,4,2
s2,s5,3,0
s2,s6,6,22
s2,s7,18,52
s2,s8,3,2
s2,s9,1,0
s3,s10,9,4
s3,s11,13,24
s3,s14,102,18
s3,s15,1,0
s3,s4,3,2
s3,s5,1,2
s3,s6,28,37
s3,s7,6,4
s3,s8,0,1
s3,s9,0,1
s4,s10,2,0
s4,s12,12,21
s4,s13,95,25
s4,s5,28,34
s4,s6,2,1
s4,s7,2,1
s4,s8,5,2
s4,s9,0,2
s5,s10,1,0
s5,s12,76,44
s5,s13,11,3
s5,s6,1,0
s5,s8,2,0
s5,s9,1,1
s6,s10,4,2
s6,s11,79,41
s6,s14,12,2
s6,s7,3,3
s6,s8,1,0
s7,s10,73,47
s7,s11,3,0
s7,s14,0,1
s7,s15,2,1
s7,s8,1,0
s8,s12,0,1
s8,s13,1,0
s8,s9,59,61
s9,s13,1,0
