"","component","player1","player2","prob1wins","prob2wins"
"1","full_dataset","s6","s1",0.503262386701865,0.496737613298135
"2","full_dataset","s6","s11",0.585476518433597,0.414523481566403
"3","full_dataset","s1","s11",0.582305938230275,0.417694061769725
"4","full_dataset","s6","s7",0.589622464238575,0.410377535761425
"5","full_dataset","s1","s7",0.586461196719901,0.413538803280099
"6","full_dataset","s11","s7",0.504277003741871,0.495722996258129
"7","full_dataset","s6","s3",0.624398156418773,0.375601843581227
"8","full_dataset","s1","s3",0.621332733944444,0.378667266055556
"9","full_dataset","s11","s3",0.540650609430828,0.459349390569172
"10","full_dataset","s7","s3",0.536398919362365,0.463601080637635
"11","full_dataset","s6","s10",0.696195081209511,0.303804918790489
"12","full_dataset","s1","s10",0.693427919672797,0.306572080327203
"13","full_dataset","s11","s10",0.61867962652898,0.38132037347102
"14","full_dataset","s7","s10",0.614635375338207,0.385364624661793
"15","full_dataset","s3","s10",0.579564419161385,0.420435580838615
"16","full_dataset","s6","s2",0.729191827514668,0.270808172485332
"17","full_dataset","s1","s2",0.726607188805843,0.273392811194157
"18","full_dataset","s11","s2",0.655934674161527,0.344065325838473
"19","full_dataset","s7","s2",0.652063334756264,0.347936665243736
"20","full_dataset","s3","s2",0.61828317704717,0.38171682295283
"21","full_dataset","s10","s2",0.540233322360717,0.459766677639283
"22","full_dataset","s6","s5",0.73419718801399,0.26580281198601
"23","full_dataset","s1","s5",0.731642740249387,0.268357259750613
"24","full_dataset","s11","s5",0.6616658070482,0.3383341929518
"25","full_dataset","s7","s5",0.657825313567285,0.342174686432715
"26","full_dataset","s3","s5",0.624282236372675,0.375717763627325
"27","full_dataset","s10","s5",0.54655941799174,0.45344058200826
"28","full_dataset","s2","s5",0.50637385467098,0.49362614532902
"29","full_dataset","s6","s4",0.790954394579528,0.209045605420472
"30","full_dataset","s1","s4",0.788788486643258,0.211211513356742
"31","full_dataset","s11","s4",0.728176681263,0.271823318737
"32","full_dataset","s7","s4",0.724777128777476,0.275222871222524
"33","full_dataset","s3","s4",0.6947517684211,0.3052482315789
"34","full_dataset","s10","s4",0.622798556731954,0.377201443268046
"35","full_dataset","s2","s4",0.584229815630658,0.415770184369342
"36","full_dataset","s5","s4",0.578023514460765,0.421976485539235
"37","full_dataset","s6","s12",0.818317368933066,0.181682631066934
"38","full_dataset","s1","s12",0.816369147210988,0.183630852789012
"39","full_dataset","s11","s12",0.76127681957169,0.23872318042831
"40","full_dataset","s7","s12",0.758153744413127,0.241846255586873
"41","full_dataset","s3","s12",0.730415227770425,0.269584772229575
"42","full_dataset","s10","s12",0.662788305398122,0.337211694601878
"43","full_dataset","s2","s12",0.625852062606353,0.374147937393647
"44","full_dataset","s5","s12",0.619862805850631,0.380137194149369
"45","full_dataset","s4","s12",0.543465260250626,0.456534739749374
"46","full_dataset","s6","s8",0.845264828987534,0.154735171012466
"47","full_dataset","s1","s8",0.843550325298134,0.156449674701866
"48","full_dataset","s11","s8",0.794560647750033,0.205439352249967
"49","full_dataset","s7","s8",0.791753893398758,0.208246106601242
"50","full_dataset","s3","s8",0.766683169932646,0.233316830067354
"51","full_dataset","s10","s8",0.704473202413768,0.295526797586232
"52","full_dataset","s2","s8",0.669828344112298,0.330171655887702
"53","full_dataset","s5","s8",0.664165299700313,0.335834700299687
"54","full_dataset","s4","s8",0.590793596475135,0.409206403524865
"55","full_dataset","s12","s8",0.548087418691142,0.451912581308858
"56","full_dataset","s6","s9",0.854873503424754,0.145126496575246
"57","full_dataset","s1","s9",0.853246981733045,0.146753018266955
"58","full_dataset","s11","s9",0.806597504560599,0.193402495439401
"59","full_dataset","s7","s9",0.803914616466533,0.196085383533467
"60","full_dataset","s3","s9",0.779900936949419,0.220099063050581
"61","full_dataset","s10","s9",0.719927825229136,0.280072174770864
"62","full_dataset","s2","s9",0.686287923295436,0.313712076704564
"63","full_dataset","s5","s9",0.68077264624703,0.31922735375297
"64","full_dataset","s4","s9",0.608892644485316,0.391107355514684
"65","full_dataset","s12","s9",0.566689971345104,0.433310028654896
"66","full_dataset","s8","s9",0.518844283243103,0.481155716756897
"67","full_dataset","s6","s14",0.894754491814577,0.105245508185423
"68","full_dataset","s1","s14",0.893519267366428,0.106480732633572
"69","full_dataset","s11","s14",0.857533959479284,0.142466040520716
"70","full_dataset","s7","s14",0.855431019349088,0.144568980650912
"71","full_dataset","s3","s14",0.836442749884268,0.163557250115732
"72","full_dataset","s10","s14",0.787682023779863,0.212317976220137
"73","full_dataset","s2","s14",0.759461132902161,0.240538867097839
"74","full_dataset","s5","s14",0.754772616981512,0.245227383018488
"75","full_dataset","s4","s14",0.692016950086646,0.307983049913354
"76","full_dataset","s12","s14",0.653682259390899,0.346317740609101
"77","full_dataset","s8","s14",0.608811384955449,0.391188615044551
"78","full_dataset","s9","s14",0.590711104232145,0.409288895767855
"79","full_dataset","s6","s13",0.936155237146941,0.0638447628530592
"80","full_dataset","s1","s13",0.935370819269856,0.0646291807301438
"81","full_dataset","s11","s13",0.912138513831995,0.0878614861680053
"82","full_dataset","s7","s13",0.910757710070701,0.0892422899292993
"83","full_dataset","s3","s13",0.898171241458183,0.101828758541817
"84","full_dataset","s10","s13",0.864839692785529,0.135160307214471
"85","full_dataset","s2","s13",0.844854448275209,0.155145551724791
"86","full_dataset","s5","s13",0.841482983206738,0.158517016793262
"87","full_dataset","s4","s13",0.794886994086678,0.205113005913322
"88","full_dataset","s12","s13",0.76500855266475,0.23499144733525
"89","full_dataset","s8","s13",0.728572457006493,0.271427542993507
