formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
TTT,23,24,27,2.874,9,3,13,4,0,1,2,1
TTF,23,24,27,2.874,9,3,13,4,0,1,2,1
TFT,23,24,27,2.874,9,3,13,4,0,1,2,1
TFF,23,24,27,2.874,9,3,13,4,0,1,2,1
FTT,23,24,27,1.940,15,6,7,1,1,1,1,1
FTF,23,24,27,1.940,15,6,7,1,1,1,1,1
FFT,23,24,27,1.940,15,6,7,1,1,1,1,1
FFF,23,24,27,1.940,15,6,7,1,1,1,1,1
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
TTT,25,26,28,2.737,2,1,2,8,3,5,3,9
TTF,25,26,28,2.737,2,1,2,8,3,5,3,9
TFT,25,26,28,9.021,0,3,8,2,3,5,9,3
TFF,25,26,28,9.021,0,3,8,2,3,5,9,3
FTT,25,26,28,4.002,4,15,3,3,1,4,2,1
FTF,25,26,28,4.002,4,15,3,3,1,4,2,1
FFT,25,26,28,6.172,13,6,3,3,4,1,0,3
FFF,25,26,28,6.172,13,6,3,3,4,1,0,3
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
TTT,27,28,29,3.902,6,2,8,8,0,2,4,3
TTF,27,28,29,2.783,6,2,8,8,2,0,4,3
TFT,27,28,29,5.473,8,8,7,1,1,3,2,3
TFF,27,28,29,7.136,6,10,7,1,3,1,4,1
FTT,27,28,29,3.902,6,2,8,8,0,2,4,3
FTF,27,28,29,2.783,6,2,8,8,2,0,4,3
FFT,27,28,29,5.473,8,8,7,1,1,3,2,3
FFF,27,28,29,7.136,6,10,7,1,3,1,4,1
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
TTT,30,31,38,0.794,12,2,18,1,0,0,0,0
TTF,30,31,38,0.794,12,2,18,1,0,0,0,0
TFT,30,31,38,0.794,12,2,18,1,0,0,0,0
TFF,30,31,38,0.794,12,2,18,1,0,0,0,0
FTT,30,31,38,0.794,12,2,18,1,0,0,0,0
FTF,30,31,38,0.794,12,2,18,1,0,0,0,0
FFT,30,31,38,0.794,12,2,18,1,0,0,0,0
FFF,30,31,38,0.794,12,2,18,1,0,0,0,0
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
TTT,32,33,39,2.808,14,7,1,0,3,5,2,1
TTF,32,33,39,2.808,14,7,1,0,3,5,2,1
TFT,32,33,39,2.808,14,7,1,0,3,5,2,1
TFF,32,33,39,2.808,14,7,1,0,3,5,2,1
FTT,32,33,39,3.926,7,14,1,0,5,3,2,1
FTF,32,33,39,3.926,7,14,1,0,5,3,2,1
FFT,32,33,39,3.926,7,14,1,0,5,3,2,1
FFF,32,33,39,3.926,7,14,1,0,5,3,2,1
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
TTT,34,35,40,3.113,7,9,4,1,5,6,1,0
TTF,34,35,40,3.113,7,9,4,1,5,6,1,0
TFT,34,35,40,3.113,7,9,4,1,5,6,1,0
TFF,34,35,40,3.113,7,9,4,1,5,6,1,0
FTT,34,35,40,1.734,9,7,4,1,6,5,1,0
FTF,34,35,40,1.734,9,7,4,1,6,5,1,0
FFT,34,35,40,1.734,9,7,4,1,6,5,1,0
FFF,34,35,40,1.734,9,7,4,1,6,5,1,0
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
TTT,36,37,41,4.100,8,12,0,1,3,7,2,0
TTF,36,37,41,4.100,8,12,0,1,3,7,2,0
TFT,36,37,41,4.100,8,12,0,1,3,7,2,0
TFF,36,37,41,4.100,8,12,0,1,3,7,2,0
FTT,36,37,41,3.182,12,8,0,1,7,3,2,0
FTF,36,37,41,3.182,12,8,0,1,7,3,2,0
FFT,36,37,41,3.182,12,8,0,1,7,3,2,0
FFF,36,37,41,3.182,12,8,0,1,7,3,2,0
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
TTT,38,39,42,4.770,18,1,8,3,1,0,1,1
TTF,38,39,42,4.770,18,1,8,3,1,0,1,1
TFT,38,39,42,8.659,18,1,8,3,0,1,2,0
TFF,38,39,42,8.659,18,1,8,3,0,1,2,0
FTT,38,39,42,7.372,11,3,15,1,0,1,2,0
FTF,38,39,42,7.372,11,3,15,1,0,1,2,0
FFT,38,39,42,3.483,11,3,15,1,1,0,1,1
FFF,38,39,42,3.483,11,3,15,1,1,0,1,1
formatType, pos1, pos2, pos3, chiSquared, n111, n110, n101, n100, n011, n010, n001, n000
TTT,40,41,43,7.162,5,1,2,9,3,4,5,4
TTF,40,41,43,7.162,5,1,2,9,3,4,5,4
TFT,40,41,43,2.435,3,3,9,2,4,3,5,4
